inf_rate,clinical_rate,density,percentage
0.022460625173794782,0.015372498539020332,7.812886160913102e-08,0.00018967511457820515
0.022631669230841,0.015496095854062884,8.13055502620241e-08,0.00019780566960440755
0.022804088509107846,0.015620686911030144,8.46048372316574e-08,0.00020626615332757327
0.02297789406559105,0.01574627969976408,8.803117582282074e-08,0.00021506927090985536
0.023153097046186278,0.0158728822743462,9.158916979274346e-08,0.0002242281878891297
0.023329708686404015,0.016000502753614154,9.528357799391196e-08,0.0002337565456885209
0.023507740312090013,0.016129149321682308,9.911931914381172e-08,0.00024366847760290208
0.02368720334015159,0.016258830228466598,1.0310147672447167e-07,0.00025397862527534927
0.023868109279289847,0.016389553790213604,1.0723530401475527e-07,0.0002647021556768248
0.02405046973073758,0.016521328390033795,1.1152622925838183e-07,0.000275854778602663
0.024234296389003398,0.01665416247843922,1.1597986097069573e-07,0.0002874527646997325
0.024419601042621576,0.016788064573885354,1.206019933872589e-07,0.0002995129640384584
0.02460639557490808,0.016923043263317415,1.2539861205740037e-07,0.00031205282524419844
0.024794691964722622,0.017059107202721017,1.3037589958584563e-07,0.000325090415202783
0.02498450228723677,0.017196265117677224,1.3554024152568872e-07,0.00033864443935535183
0.025175838714708455,0.017334525803922196,1.4089823242593151e-07,0.000352734262597945
0.025368669899812672,0.017473898127911187,1.4645668203687959e-07,0.00036737993080163296
0.02556149445980623,0.017614391027387145,1.5222262167676988e-07,0.00038260219296930997
0.025755869359702525,0.017756013511953904,1.5820331076300666e-07,0.0003984225240456106
0.025951807064479072,0.01789877466365388,1.6440624351142365e-07,0.00041486314839675296
0.026149320139333857,0.018042683637550606,1.708391558070833e-07,0.0004319470639774613
0.026348421250490986,0.018187749662315733,1.775100322501067e-07,0.00044969806720247194
0.026549123166013055,0.01833398204082092,1.844271133801157e-07,0.0004681407785404836
0.02675143875661983,0.018481390150734342,1.915989030828731e-07,0.00048730066884877083
0.026955380996513775,0.018629983445122147,1.9903417618281966e-07,0.0005072040864670528
0.027160962964211926,0.018779771453054594,2.067419862251279e-07,0.0005278782850895655
0.02736819784338469,0.018930763780217193,2.1473167345107035e-07,0.0005493514524346726
0.02757709892370127,0.01908297010952668,2.2301287297042834e-07,0.0005716527397317154
0.027787679601681884,0.019236400201751956,2.3159552313479115e-07,0.0005948122920451946
0.02799995338155692,0.019391063896140065,2.404898741155555e-07,0.0006188612794567501
0.028213933876132868,0.019546971111047123,2.4970649669054e-07,0.0006438319291258042
0.028429634807665367,0.01970413184457442,2.592562912431578e-07,0.00066975755825012
0.02864707000873916,0.019862556175209562,2.6915049697803215e-07,0.0006966726079479232
0.028866253423155113,0.020022254262472755,2.7940070135715195e-07,0.0007246126780836383
0.029087199106824505,0.020183236347568387,2.9001884976053157e-07,0.0007536145630596914
0.02930992122867031,0.020345512754041714,3.010172553754144e-07,0.0007837162885972329
0.02953443407153592,0.020509093888440952,3.1240860931820795e-07,0.0008149571495290537
0.029759587938701832,0.020673990240984604,3.242059909931823e-07,0.0008473777486283719
0.029985847214030612,0.020840212386234166,3.364228786921078e-07,0.0008810200364975827
0.03021392564965158,0.021007770983772288,3.490731604390416e-07,0.000915927352541487
0.030443837871900685,0.021176676778886357,3.6217114508442684e-07,0.0009521444670499296
0.03067559862471191,0.02134694060325756,3.757315736527555e-07,0.000989717624415205
0.030909222770562794,0.021518573375655516,3.897696309480468e-07,0.0010286945875100097
0.03114472529142754,0.021691586102638466,4.0430095742138816e-07,0.0010691246832521487
0.031382121289737774,0.02186598987925911,4.1934166130487e-07,0.0011110588493826357
0.03162142598935109,0.02204179588977614,4.349083310161721e-07,0.0011545496824842529
0.031862654736527274,0.02221901540837145,4.510180478381692e-07,0.00119965148726807
0.03210582300091249,0.022397659799873144,4.6768839887785096e-07,0.0012464203271558552
0.03235094637653128,0.022577740520484318,4.849374903089488e-07,0.00129491407618675
0.03259804058278657,0.022759269118517746,5.027839609025756e-07,0.0013451924722770077
0.03284712146546784,0.022942257235136487,5.212469958502698e-07,0.0013973171718620347
0.03309820499776716,0.02312671660510037,5.403463408837782e-07,0.0014513518059504123
0.03335130728130364,0.023312659057518566,5.601023166960176e-07,0.0015073620376200142
0.033606444547155896,0.023500096516608122,5.805358336674503e-07,0.001565415620986759
0.033863633156902995,0.023689041002458677,6.016684069023723e-07,0.0016255824616769965
0.0341228896036737,0.023879504631803307,6.235221715793791e-07,0.0016879346788349345
0.034384230513204106,0.02407149961879552,6.461198986203933e-07,0.0017525466686969739
0.03464719338095509,0.024265038275792572,6.694850106825691e-07,0.0018194951697652307
0.0349105676016171,0.02446013301414498,6.936415984773894e-07,0.0018888593296129696
0.03517605939259095,0.024656796344992474,7.186144374212651e-07,0.001960720773355096
0.03544368577947624,0.02485504088006636,7.444290046219212e-07,0.0020351636738172884
0.03571346392476111,0.025054879332498232,7.711114962047981e-07,0.0021122748234377684
0.03598541112892277,0.025256324517635292,7.986888449836904e-07,0.0021921437079361374
0.036259544831537,0.025459389353862116,8.271887384798684e-07,0.0022748625817841242
0.036535882612396514,0.025664086863429147,8.566396372937472e-07,0.002360526545513499
0.036814442192638366,0.025870430173287794,8.870707938332734e-07,0.0024492336248968264
0.037095241435880354,0.02607843251593222,9.185122714031437e-07,0.002541084852037141
0.037378298349366554,0.02628810723024793,9.509949636587692e-07,0.0026361843484030176
0.03766363108512214,0.026499467762367168,9.845506144290881e-07,0.0027346394098459264
0.037951257941117415,0.02671252766653119,1.0192118379120033e-06,0.0028365605936371266
0.038241197362441276,0.026927300605959523,1.0550121392464463e-06,0.002942061807561771
0.038533467942484044,0.02714380035372612,1.0919859354648036e-06,0.0030512604011082517
0.03882808842412984,0.027362040793642635,1.1301685768293373e-06,0.003164277258791185
0.03912507770095852,0.027582035921148742,1.1695963685564718e-06,0.003281236895646832
0.03942445481845727,0.027803799844209647,1.210306592932269e-06,0.003402267554940059
0.039726238975242065,0.028027346784220863,1.252337531822823e-06,0.003527501308122341
0.04003044952428875,0.02825269107692014,1.295728489582759e-06,0.003657074157080617
0.04033710597417417,0.028479847173306844,1.3405198163653679e-06,0.003791126138717154
0.04064414823284318,0.028708829640568635,1.386752931837358e-06,0.00392980143190089
0.04095319121065676,0.028939653163015652,1.4344703493016158e-06,0.004073248466831051
0.04126471894279922,0.02917233254302224,1.4837157002306778e-06,0.004221620036854119
0.04157875140708764,0.029406882701976167,1.5345337592140298e-06,0.004375073412775522
0.041895308741963844,0.029643318681235473,1.5869704693220167e-06,0.004533770459707724
0.042214411247785986,0.029881655643093148,1.6410729678887001e-06,0.004697877756496594
0.042536079388130234,0.030121908871749353,1.6968896127166735e-06,0.004867566717768262
0.04286033379110318,0.030364093774291678,1.7544700087057548e-06,0.0050430137186388375
0.043187195250664674,0.03060822588168312,1.8138650349081467e-06,0.005224400222129652
0.043516684727961205,0.030854320849758043,1.8751268720118704e-06,0.005411912909330839
0.04384882335267028,0.031102394460226234,1.938309030254682e-06,0.005605743812356307
0.044183632424355246,0.03135246262168486,2.0034663777699554e-06,0.005806090450133303
0.04452113341383141,0.03160454137063878,2.0706551693665605e-06,0.006013155967069959
0.044861347964542775,0.03185864687252887,2.1399330757436207e-06,0.006227149274644321
0.04520429789395003,0.03211479542276867,2.2113592131418893e-06,0.00644828519595851
0.04555000519492972,0.03237300344778945,2.284994173432639e-06,0.006676784613301775
0.04589849203718457,0.032633287506093546,2.3609000546448916e-06,0.006912874618766263
0.04624978076866523,0.03289566428931631,2.4391404919316046e-06,0.007156788667959424
0.04660389391700344,0.033160150623296476,2.519780688975761e-06,0.0074087667368570006
0.04696085419095654,0.033426763469155116,2.602887449835859e-06,0.007669055481840586
0.047319457121502255,0.03369551992438348,2.688529211231441e-06,0.007937908402963729
0.04767919653941087,0.033966437223939265,2.7767760752683184e-06,0.00821558601049056
0.04804182831902996,0.034239532741352,2.867699842602925e-06,0.008502355994750853
0.04840737571540428,0.034514823989837136,2.9613740460453715e-06,0.00879849339935539
0.048775862170552825,0.03479232862341912,3.0578739846000356e-06,0.009104280797815393
0.04914731131497208,0.03507206443806352,3.1572767579427728e-06,0.009420008473609671
0.049521746969151514,0.03535404937281833,3.2596613013330343e-06,0.009745974603742973
0.04989919314510106,0.03563830151096429,3.365108420959582e-06,0.010082485445838932
0.05027967404789103,0.035924839081174595,3.4737008297172758e-06,0.010429855528810658
