,,2019,2019,2019,2015,2015,2015,2010,2010,2010,2005,2005,2005,2000,2000,2000
Indicator,Age Group,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
nLx - person-years lived between ages x and x+n,<1 year,97462.53041,97242.89273,97688.21621,97061.86159,96827.86231,97302.59247,96636.75941,96394.45796,96886.79736,95898.61036,95632.63156,96172.68735,94197.1536,93880.03168,94522.8922
nLx - person-years lived between ages x and x+n,1-4 years,382040.3334,380644.4792,383475.1391,379101.7795,377614.9969,380632.0448,374792.7041,373265.4458,376368.8279,368036.7275,366351.0576,369773.6791,354701.6668,352642.9857,356818.1788
nLx - person-years lived between ages x and x+n,5-9 years,472778.2753,470840.1711,474771.2021,468383.409,466325.7902,470501.9998,461320.0417,459240.9351,463465.5157,450437.1384,448144.3924,452799.3861,430241.9122,427404.1149,433161.1205
nLx - person-years lived between ages x and x+n,10-14 years,470075.7763,467977.4108,472234.0389,465465.8754,463251.8872,467745.4864,458253.6112,456035.3984,460541.6013,446926.5159,444467.5743,449459.1659,426025.7567,422958.7008,429180.6576
nLx - person-years lived between ages x and x+n,15-19  years,467961.415,465581.5921,470408.5945,463093.1041,460593.2729,465665.2509,455516.9688,453044.136,458065.1987,444032.7538,441296.7406,446848.5584,423065.4263,419681.5315,426545.4039
nLx - person-years lived between ages x and x+n,20-24 years,464871.5981,462033.4571,467786.8769,459503.0119,456615.4052,462470.9267,451113.5221,448495.2364,453810.278,439067.3296,436401.7813,441811.6032,417571.6257,414526.3487,420705.5313
nLx - person-years lived between ages x and x+n,25-29 years,460769.605,457387.4756,464238.4682,454578.9054,451374.4251,457868.6599,444354.2034,442277.8867,446501.3944,429847.1086,428796.9177,430955.6812,406176.2919,405565.3052,406847.4297
nLx - person-years lived between ages x and x+n,30-34 years,455385.0998,451377.9201,459487.7584,447772.1792,444216.9763,451416.8436,433777.1778,432962.5435,434645.9247,413951.1072,416219.4768,411730.35,387636.9311,390778.3992,384563.606
nLx - person-years lived between ages x and x+n,35-39 years,448208.7265,443349.5229,453175.9157,438499.9395,434179.764,442923.3543,418687.2109,419012.6562,418401.9243,391681.9907,396701.8332,386734.8781,363756.2762,368627.9489,358978.4129
nLx - person-years lived between ages x and x+n,40-44 years,438533.0505,432325.0812,444878.9117,426280.1855,420408.2676,432293.364,399684.8237,399952.3771,399452.2513,365340.3573,370337.8535,360404.2742,337233.8701,340290.7901,334195.5405
nLx - person-years lived between ages x and x+n,45-49 years,425704.0041,417573.3405,434026.8983,410849.7502,402670.9555,419230.2198,377767.5124,376534.8196,379012.3303,337230.2073,339694.6612,334704.5399,309853.4118,309445.6517,310122.886
nLx - person-years lived between ages x and x+n,50-54 years,408636.2903,397997.235,419530.8078,391691.4399,380572.0256,403053.3145,353662.9503,349784.8007,357461.5439,308860.5025,307866.7671,309582.1599,281832.7965,278177.8912,285142.6278
nLx - person-years lived between ages x and x+n,55-59 years,386107.4769,372287.0522,400198.5018,367945.4953,353334.9474,382760.4561,327415.3855,319959.9727,334590.7374,280425.2798,275549.1721,284678.718,253240.021,246014.7558,259806.5236
nLx - person-years lived between ages x and x+n,60-64 years,355679.9171,337980.2552,373539.5054,337094.8154,318548.0328,355673.8673,296377.4597,284506.354,307540.7486,249429.6864,239772.992,257904.706,222361.1181,210504.9512,233153.9594
nLx - person-years lived between ages x and x+n,65-69 years,315021.2824,293184.3121,336711.4597,296755.3636,274220.9028,318882.7623,257893.3198,241154.5475,273246.2846,213376.1399,198353.6035,226555.3529,187277.518,170378.0022,202763.896
nLx - person-years lived between ages x and x+n,70-74 years,262073.9971,237259.1326,286163.1045,244838.3131,219721.1861,268884.8797,209954.0138,189475.0571,228343.8685,170569.4855,151301.1823,187477.8356,146748.9287,126295.0705,165735.1686
nLx - person-years lived between ages x and x+n,75-79 years,197681.1819,172710.0844,221243.4836,182624.314,157845.9201,205696.8817,154047.656,132613.1484,172892.5077,122610.5935,102077.2555,140644.3493,102746.4606,82089.84135,122287.1474
nLx - person-years lived between ages x and x+n,80-84 years,128592.8705,107390.5724,147992.8529,117286.1943,96460.59021,136052.1039,97198.36793,78439.34613,113289.3358,75806.47746,57885.73481,91563.69572,61540.17859,44545.91683,78027.05034
nLx - person-years lived between ages x and x+n,85+ years,96834.88768,72051.76608,118359.7528,86794.19467,62716.22167,107272.678,70385.58174,48378.91065,88672.78857,53635.50475,33713.05427,71519.76007,41212.94799,24318.95706,58744.02105
Tx - person-years lived above age x,<1 year,6734418.318,6537193.753,6925911.489,6535620.132,6337499.43,6726327.686,6138839.27,6001528.03,6263189.859,5657163.516,5550564.682,5751321.381,5247420.292,5128127.195,5361302.054
Tx - person-years lived above age x,1-4 years,6636955.788,6439950.86,6828223.272,6438558.27,6240671.568,6629025.094,6042202.511,5905133.572,6166303.062,5561264.906,5454932.05,5655148.694,5153223.138,5034247.163,5266779.162
Tx - person-years lived above age x,5-9 years,6254915.454,6059306.381,6444748.133,6059456.491,5863056.571,6248393.049,5667409.807,5531868.126,5789934.234,5193228.179,5088580.993,5285375.014,4798521.471,4681604.177,4909960.983
Tx - person-years lived above age x,10-14 years,5782137.179,5588466.21,5969976.931,5591073.082,5396730.781,5777891.049,5206089.765,5072627.191,5326468.718,4742791.04,4640436.6,4832575.628,4368279.559,4254200.062,4476799.862
Tx - person-years lived above age x,15-19  years,5312061.403,5120488.799,5497742.892,5125607.206,4933478.893,5310145.563,4747836.154,4616591.793,4865927.117,4295864.524,4195969.026,4383116.462,3942253.802,3831241.361,4047619.205
Tx - person-years lived above age x,20-24 years,4844099.988,4654907.207,5027334.298,4662514.102,4472885.62,4844480.312,4292319.185,4163547.657,4407861.918,3851831.77,3754672.285,3936267.904,3519188.376,3411559.83,3621073.801
Tx - person-years lived above age x,25-29 years,4379228.39,4192873.75,4559547.421,4203011.09,4016270.215,4382009.385,3841205.663,3715052.42,3954051.64,3412764.441,3318270.504,3494456.301,3101616.75,2997033.481,3200368.269
Tx - person-years lived above age x,30-34 years,3918458.785,3735486.275,4095308.953,3748432.185,3564895.79,3924140.725,3396851.46,3272774.534,3507550.246,2982917.332,2889473.586,3063500.62,2695440.459,2591468.176,2793520.84
Tx - person-years lived above age x,35-39 years,3463073.685,3284108.355,3635821.194,3300660.006,3120678.814,3472723.882,2963074.282,2839811.99,3072904.321,2568966.225,2473254.109,2651770.27,2307803.527,2200689.777,2408957.234
Tx - person-years lived above age x,40-44 years,3014864.958,2840758.832,3182645.279,2862160.066,2686499.05,3029800.527,2544387.071,2420799.334,2654502.397,2177284.234,2076552.276,2265035.392,1944047.251,1832061.828,2049978.821
